num_messages,num_messages,summary_len_words,total_words,avg_message_words,contains_urgent,contains_meeting,has_zoom,url_count,avg_sentiment
5,5,86,178,35.6,0,0,0,0,0.27026
4,4,66,331,82.75,0,0,0,0,0.7755
5,5,95,292,58.4,0,0,0,0,0.7397
4,4,84,269,67.25,0,0,0,0,0.855225
4,4,110,125,31.25,0,0,0,0,0.50705
5,5,96,96,19.2,0,0,0,0,0.33752
4,4,85,5987,1496.75,0,1,0,0,0.987325
4,4,38,46,11.5,0,0,0,0,0.23545
6,6,59,693,115.5,0,0,0,0,0.7724833333333333
7,7,125,556,79.42857142857143,0,0,0,4,0.6764428571428571
4,4,72,584,146.0,1,1,0,0,0.82795
4,4,67,32,8.0,0,0,0,0,0.1101
5,5,58,69,13.8,0,0,0,0,0.0
7,7,86,358,51.142857142857146,0,0,0,0,0.3986142857142857
4,4,62,700,175.0,0,0,0,8,0.8201
5,5,80,1410,282.0,0,0,0,0,0.97834
6,6,64,116,19.333333333333332,0,1,0,0,0.26409999999999995
4,4,110,975,243.75,0,0,0,0,0.933625
4,4,101,167,41.75,0,0,0,0,0.5839
4,4,94,151,37.75,0,0,0,0,0.264675
9,9,66,296,32.888888888888886,0,1,0,0,0.25623333333333337
5,5,109,1445,289.0,1,0,0,0,0.97036
4,4,101,865,216.25,0,0,0,1,0.73715
5,5,72,1326,265.2,1,1,0,0,0.9440800000000001
4,4,76,5640,1410.0,1,1,0,0,0.996
8,8,74,394,49.25,0,1,0,0,0.4872375
7,7,76,1254,179.14285714285714,0,0,0,0,0.2800714285714286
4,4,43,17,4.25,0,0,0,0,0.397875
9,9,85,1819,202.11111111111111,1,1,0,0,0.7626777777777778
10,10,83,10,1.0,0,0,0,0,0.2023
8,8,112,798,99.75,1,1,0,0,0.7183624999999999
5,5,85,2012,402.4,0,0,0,0,0.94816
6,6,97,173,28.833333333333332,0,0,0,0,0.48130000000000006
10,10,113,282,28.2,0,0,0,0,0.19998
7,7,93,99,14.142857142857142,0,0,0,0,0.16837142857142856
4,4,93,206,51.5,0,0,0,0,0.77365
6,6,53,310,51.666666666666664,1,0,0,0,0.6715166666666668
5,5,80,87,17.4,0,0,0,0,0.27346
5,5,80,42,8.4,0,0,0,0,0.42869999999999997
4,4,91,1948,487.0,0,1,0,0,0.9800249999999999
4,4,76,267,66.75,0,0,0,0,0.698925
9,9,84,326,36.22222222222222,0,0,0,0,0.4039
4,4,130,868,217.0,0,0,0,0,0.95685
